Address,Neighborhood,Project.Type,Status,Size,Pipeline Link,Neighborhood:,Pipeline,Project type:,No. of units:,Types of units:,Unit sizes:,Amenities:,Pricing:,Website:,Architect:,Last updated:,Address:,Status:,First move-ins:,Latitude,Longitude
3309 12th Street NE,Brookland,Condo,"Under Construction, Not Yet Selling",14  units,https://dc.urbanturf.com/pipeline/1210/3309_12th_Street_NE,,,                                  Condos                              </p>,14.0,                  One- and two-bedroom apartments                </p>,,,,,,"                September 11th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  3309 12th Street NE,  Washington, DC,  20017,  ","Under Construction, Not Yet Selling",,38.93093,-76.9906223
The Dewey Development,University Park,Condos & Rental apartments,Planned,529  units,https://dc.urbanturf.com/pipeline/948/The_Dewey_Development,,,                                  Condos &amp; Rental apartments                              </p>,529.0,                  TBD                </p>,,,,,,"                September 5th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  6700 Adelphi Road,  Hyattsville, MD,  20782,  ",Planned,,38.9718642,-76.9497657
600 Fifth,Judiciary Square,Condo or Rental - TBD,"Under Construction, Not Yet Selling",364  units,https://dc.urbanturf.com/pipeline/835/600_Fifth,,,                                  Condo or Rental - TBD                              </p>,364.0,                  TBD                </p>,,,,https://600fifth.com,DVA Architects  ,"                September 5th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  600 5th Street NW,  Washington, DC,  20001,  ","Under Construction, Not Yet Selling",,38.897461,-77.019031
3033 Wilson Boulevard,Lyon Village,Rental,Planned,309  units,https://dc.urbanturf.com/pipeline/1207/3033_Wilson_Boulevard,,,                                  Rental apartments                              </p>,309.0,                  TBD                </p>,,,,,,"                September 5th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  3033 Wilson Boulevard,  Arlington, VA,  22201,  ",Planned,"                    2027                  </p></div>, <div class=""block""><h3>Maxwell Rabin</h3>",38.8882269,-77.094605
333 North Fairfax Street,Alexandria,Condo,Planned,32  units,https://dc.urbanturf.com/pipeline/1291/333_North_Fairfax_Street,,,                                  Condos                              </p>,32.0,                  TBD                </p>,,,,,,"                September 5th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  333 North Fairfax Street,  Alexandria, VA,  22314,  ",Planned,,38.8097136,-77.0415742
333 North Fairfax Street,Alexandria,Condo,Planned,32  units,https://dc.urbanturf.com/pipeline/1291/333_North_Fairfax_Street,,,                                  Condos                              </p>,32.0,                  TBD                </p>,,,,,,"                September 5th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  333 North Fairfax Street,  Alexandria, VA,  22314,  ",Planned,,38.8097136,-77.0415742
Skyland Town Center Condominium (Final Phase),Skyland Town Center,Condo,Planned,24  units,https://dc.urbanturf.com/pipeline/1289/Skyland_Town_Center_Condominium_Final_Phase,,,                                  Condos                              </p>,24.0,                  TBD                </p>,,,,,,"                September 5th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2704 Marion Barry Ave SE,  Washington, DC,  20020,  ",Planned,,38.8599721,-76.9675474
Bridge District Phase 2,Bridge District,Rental,Planned,272  units,https://dc.urbanturf.com/pipeline/1288/Bridge_District_Phase_2,,,                                  Rental apartments                              </p>,272.0,                  TBD                </p>,,,,,,"                September 5th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  633 Howard Road SE,  Washington, DC,  20020,  ",Planned,,38.8647563,-77.0003701
Bridge District Phase 1,Poplar Point,Condos & Rental apartments,"Under Construction, Not Yet Leasing",1575  units,https://dc.urbanturf.com/pipeline/1195/Bridge_District_Phase_1,,,                                  Condos &amp; Rental apartments                              </p>,1575.0,                  TBD                </p>,,,,https://www.zgf.com/work/4730-redbrick-lmd-the-douglass,ZGF Architects  ,"                September 5th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  633 Howard Road SE,  Washington, DC,  20020,  ","Under Construction, Not Yet Leasing",,38.8647563,-77.0003701
Hampton East 2,Marshall Heights,Rental,Planned,28  units,https://dc.urbanturf.com/pipeline/1287/Hampton_East_2,,,                                  Rental apartments                              </p>,28.0,                  Two- to four-bedroom apartments                </p>,,,,,,"                September 5th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  4750 Benning Rd SE,  Washington, DC,  20019,  ",Planned,,38.8835546,-76.932159
5M,Southwest Waterfront,Condo or Rental - TBD,"Under Construction, Not Yet Leasing",651  units,https://dc.urbanturf.com/pipeline/1191/5M,,,                                  Condo or Rental - TBD                              </p>,651.0,"                  Studios, one-, two-, and three-bedroom apartments                </p>",,,,,,"                August 29th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  5 M Street SW,  Washington, DC,  20003,  ","Under Construction, Not Yet Leasing",,38.8763769,-77.0095349
7050 Eastern Avenue NW,Takoma,Rental,Planned,80  units,https://dc.urbanturf.com/pipeline/1064/7050_Eastern_Avenue_NW,,,                                  Rental apartments                              </p>,80.0,                  TBD                </p>,,,,,Soto Architecture  ,"                August 29th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  7050 Eastern Avenue NW,  Washington, DC,  20012,  ",Planned,,38.9772098,-77.0178602
Cycle House,Truxton Circle,Rental,"Under Construction, Not Yet Selling",18  units,https://dc.urbanturf.com/pipeline/1166/Cycle_House,,,                                  Rental apartments                              </p>,18.0,"                  Studio, one-, two- and three-bedroom apartments                </p>",,,,,,"                August 29th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1520 North Capitol Street NW,  Washington, DC,  20002,  ","Under Construction, Not Yet Selling",,38.9098622,-77.0092166
1801-1805 Maryland Avenue NE,Langston,Rental,Planned,28  units,https://dc.urbanturf.com/pipeline/926/18011805_Maryland_Avenue_NE,,,                                  Rental apartments                              </p>,28.0,                  TBD                </p>,,,,,Square 134 Architects  ,"                August 29th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1801 Maryland Ave NE,  Washington, DC,  20002,  ",Planned,,38.9022092,-76.977507
Friendship Center Redevelopment,Friendship Heights,Rental,"Under Construction, Not Yet Leasing",350  units,https://dc.urbanturf.com/pipeline/1017/Friendship_Center_Redevelopment,,,                                  Rental apartments                              </p>,350.0,                  TBD                </p>,,,,,Shalom Baranes  ,"                August 29th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  5333 Wisconsin Avenue,  Washington, DC,  20015,  ","Under Construction, Not Yet Leasing",,38.9597296,-77.0845637
RCA Building Redevelopment,Rosslyn,Condos & Rental apartments,"Under Construction, Not Yet Selling",423  units,https://dc.urbanturf.com/pipeline/720/RCA_Building_Redevelopment,,,                                  Condos &amp; Rental apartments                              </p>,423.0,"                  Studios, one-, two- and three-bedroom residences                </p>",,,,https://www.arlingtonva.us/Government/Projects/Project-Types/Site-Plan/1901-N-Moore-St,Shalom Baranes Associates  ,"                August 29th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1901 N Moore Street,  Arlington, VA,  22209,  ","Under Construction, Not Yet Selling",,38.897259,-77.071398
Deanwood Town Center,Deanwood,Rental,Planned,1383  units,https://dc.urbanturf.com/pipeline/758/Deanwood_Town_Center,,,                                  Rental apartments                              </p>,1383.0,"                  One-, two-, three-, four- and five-bedroom homes                </p>",,,,,Torti Gallas + Partners  ,"                August 28th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  5110-5140 Nannie Helen Burroughs Avenue NE,  Washington, DC,  20019,  ",Planned,                    TBD                  </p>,38.898432,-76.9271505
Manna Mixed-Use,Shaw,Rental,"Under Construction, Not Yet Leasing",90  units,https://dc.urbanturf.com/pipeline/1150/Manna_MixedUse,,,                                  Rental apartments                              </p>,90.0,                  TBD                </p>,,,,,PGN Architects  ,"                August 22nd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  600 S Street NW,  Washington, DC,  20001,  ","Under Construction, Not Yet Leasing","                    Spring 2027                  </p></div>, <div class=""block""><h3>Sean Aalai</h3>",38.914008,-77.020052
Midas Redevelopment,Woodmont Triangle,Condo,"Under Construction, Not Yet Selling",110  units,https://dc.urbanturf.com/pipeline/1122/Midas_Redevelopment,,,                                  Condos                              </p>,110.0,                  One-bedroom apartments                </p>,,,,,Eric Colbert &amp; Associates  ,"                August 22nd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  4725 Cheltenham Drive,  Bethesda, MD,  20814,  ","Under Construction, Not Yet Selling",,38.9885869,-77.0943409
Novel Bethesda,Downtown Bethesda,Rental,Planned,450  units,https://dc.urbanturf.com/pipeline/775/Novel_Bethesda,,,                                  Rental apartments                              </p>,450.0,                  TBD                </p>,,"                  Roof deck, business center, library and sky lounge; 150 below-grade parking spaces                </p>",,https://www.designcollective.com/portfolio/project/7820-wisconsin-ave/,Design Collective  ,"                August 22nd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  7820 Wisconsin Avenue,  Bethesda, MD,  20814,  ",Planned,,38.9891949,-77.0951056
Portals IV,Southwest,Condo,"Under Construction, Not Yet Selling",356  units,https://dc.urbanturf.com/pipeline/1044/Portals_IV,,,                                  Condos                              </p>,356.0,                  TBD                </p>,,,,https://www.cfa.gov/system/files/meeting-materials/SL%2021-068%20-%201311%20Maryland%20Ave%20SW%20-%20presentation.pdf,WDG Architecture  ,"                August 22nd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1311 Maryland Avenue SW,  Washington, DC,  20024,  ","Under Construction, Not Yet Selling",,,
